Date,btc,oil,ethereum,euro,gold,tether,dow,sp,nasdaq,tenyear,btc_ytd,btc_change_ytd,oil_ytd,oil_change_ytd,ethereum_ytd,ethereum_change_ytd,euro_ytd,euro_change_ytd,gold_ytd,gold_change_ytd,tether_ytd,tether_change_ytd,dow_ytd,dow_change_ytd,sp_ytd,sp_change_ytd,nasdaq_ytd,nasdaq_change_ytd,tenyear_ytd,tenyear_change_ytd,btc_tmr,btc_change_tmr,oil_tmr,oil_change_tmr,ethereum_tmr,ethereum_change_tmr,euro_tmr,euro_change_tmr,gold_tmr,gold_change_tmr,tether_tmr,tether_change_tmr,dow_tmr,dow_change_tmr,sp_tmr,sp_change_tmr,nasdaq_tmr,nasdaq_change_tmr,tenyear_tmr,tenyear_change_tmr
2018-06-11,6906.919921875,66.0999984741211,533.2839965820312,1.1783976554870605,1298.9000244140625,1.0019299983978271,25322.310546875,2782.0,7659.93017578125,2.9570000171661377,6786.02001953125,1,,0,526.47900390625,1,,0,,0,0.9982150197029114,1,,0,,0,,0,,0,6582.35986328125,0,66.36000061035156,1,496.8429870605469,0,1.177412509918213,0,1295.0999755859375,0,1.0007699728012085,0,25320.73046875,0,2786.85009765625,1,7703.7900390625,1,2.9570000171661377,0
2018-06-12,6582.35986328125,66.36000061035156,496.8429870605469,1.177412509918213,1295.0999755859375,1.0007699728012085,25320.73046875,2786.85009765625,7703.7900390625,2.9570000171661377,6906.919921875,0,66.0999984741211,1,533.2839965820312,0,1.1783976554870605,0,1298.9000244140625,0,1.0019299983978271,0,25322.310546875,0,2782.0,1,7659.93017578125,1,2.9570000171661377,0,6349.89990234375,0,66.63999938964844,1,477.4939880371094,0,1.17482590675354,0,1296.9000244140625,1,1.0035300254821777,1,25201.19921875,0,2775.6298828125,0,7695.7001953125,0,2.9769999980926514,1
2018-06-13,6349.89990234375,66.63999938964844,477.4939880371094,1.17482590675354,1296.9000244140625,1.0035300254821777,25201.19921875,2775.6298828125,7695.7001953125,2.9769999980926514,6582.35986328125,0,66.36000061035156,1,496.8429870605469,0,1.177412509918213,0,1295.0999755859375,1,1.0007699728012085,1,25320.73046875,0,2786.85009765625,0,7703.7900390625,0,2.9570000171661377,1,6675.35009765625,1,66.88999938964844,1,519.7420043945312,1,1.1807769536972046,1,1304.0,1,1.0039499998092651,1,25175.310546875,0,2782.489990234375,1,7761.0400390625,1,2.946000099182129,0
2018-06-14,6675.35009765625,66.88999938964844,519.7420043945312,1.1807769536972046,1304.0,1.0039499998092651,25175.310546875,2782.489990234375,7761.0400390625,2.946000099182129,6349.89990234375,1,66.63999938964844,1,477.4939880371094,1,1.17482590675354,1,1296.9000244140625,1,1.0035300254821777,1,25201.19921875,0,2775.6298828125,1,7695.7001953125,1,2.9769999980926514,0,6456.580078125,0,65.05999755859375,0,491.0039978027344,0,1.1566576957702637,0,1274.5999755859375,0,1.0069500207901,1,25090.48046875,0,2779.659912109375,0,7746.3798828125,0,2.9240000247955322,0
2018-06-15,6456.580078125,65.05999755859375,491.0039978027344,1.1566576957702637,1274.5999755859375,1.0069500207901,25090.48046875,2779.659912109375,7746.3798828125,2.9240000247955322,6675.35009765625,0,66.88999938964844,0,519.7420043945312,0,1.1807769536972046,0,1304.0,0,1.0039499998092651,1,25175.310546875,0,2782.489990234375,0,7761.0400390625,0,2.946000099182129,0,6550.16015625,1,,0,499.6419982910156,1,,0,,0,1.0042400360107422,0,,0,,0,,0,,0
2018-06-16,6550.16015625,,499.6419982910156,,,1.0042400360107422,,,,,6456.580078125,1,65.05999755859375,0,491.0039978027344,1,1.1566576957702637,0,1274.5999755859375,0,1.0069500207901,0,25090.48046875,0,2779.659912109375,0,7746.3798828125,0,2.9240000247955322,0,6499.27001953125,0,,0,500.447998046875,1,,0,,0,1.0054800510406494,1,,0,,0,,0,,0
2018-06-17,6499.27001953125,,500.447998046875,,,1.0054800510406494,,,,,6550.16015625,0,,0,499.6419982910156,1,,0,,0,1.0042400360107422,1,,0,,0,,0,,0,6734.81982421875,1,65.8499984741211,0,518.8909912109375,1,1.159595012664795,0,1276.199951171875,0,1.0028300285339355,0,24987.470703125,0,2773.75,0,7747.02978515625,0,2.9260001182556152,0
2018-06-18,6734.81982421875,65.8499984741211,518.8909912109375,1.159595012664795,1276.199951171875,1.0028300285339355,24987.470703125,2773.75,7747.02978515625,2.9260001182556152,6499.27001953125,1,,0,500.447998046875,1,,0,,0,1.0054800510406494,0,,0,,0,,0,,0,6769.93994140625,1,65.06999969482422,0,537.9569702148438,1,1.1630746126174927,1,1275.5999755859375,0,1.0002199411392212,0,24700.2109375,0,2762.590087890625,0,7725.58984375,0,2.8929998874664307,0
2018-06-19,6769.93994140625,65.06999969482422,537.9569702148438,1.1630746126174927,1275.5999755859375,1.0002199411392212,24700.2109375,2762.590087890625,7725.58984375,2.8929998874664307,6734.81982421875,1,65.8499984741211,0,518.8909912109375,1,1.159595012664795,1,1276.199951171875,0,1.0028300285339355,0,24987.470703125,0,2773.75,0,7747.02978515625,0,2.9260001182556152,0,6776.5498046875,1,66.22000122070312,1,536.2680053710938,0,1.1588560342788696,0,1271.199951171875,0,0.9988290071487427,0,24657.80078125,0,2767.320068359375,1,7781.509765625,1,2.927999973297119,1
2018-06-20,6776.5498046875,66.22000122070312,536.2680053710938,1.1588560342788696,1271.199951171875,0.9988290071487427,24657.80078125,2767.320068359375,7781.509765625,2.927999973297119,6769.93994140625,1,65.06999969482422,1,537.9569702148438,0,1.1630746126174927,0,1275.5999755859375,0,1.0002199411392212,0,24700.2109375,0,2762.590087890625,1,7725.58984375,1,2.8929998874664307,1,6729.740234375,0,65.54000091552734,0,527.3670043945312,0,1.1579033136367798,0,1267.199951171875,0,1.0005300045013428,1,24461.69921875,0,2749.760009765625,0,7712.9501953125,0,2.8970000743865967,0
